Date,Close price,Open price,High price,Low price,Volume,
13/01/2021,"1,186.05","1,197.32","1,200.82","1,183.18",819.29,
12/1/2021,"1,192.28","1,190.38","1,192.28","1,179.24",719.94,
11/1/2021,"1,184.89","1,176.47","1,186.45","1,175.00",845.85,
8/1/2021,"1,167.69","1,164.10","1,176.33","1,160.48",808.31,
7/1/2021,"1,156.49","1,147.26","1,156.49","1,143.44",763.74,
6/1/2021,"1,143.21","1,139.12","1,152.85","1,133.70",790.45,
5/1/2021,"1,132.55","1,116.96","1,134.45","1,116.49",763.43,
4/1/2021,"1,120.47","1,113.77","1,126.43","1,113.59",764.04,
31/12/2020,"1,103.87","1,098.25","1,105.33","1,096.27",527.82,
30/12/2020,"1,097.54","1,099.78","1,108.83","1,094.91",676.98,
29/12/2020,"1,099.49","1,090.49","1,102.79","1,087.93",678.82,
28/12/2020,"1,091.33","1,094.37","1,096.11","1,083.90",723.88,
25/12/2020,"1,084.42","1,068.83","1,084.42","1,061.83",652.81,
24/12/2020,"1,067.52","1,083.83","1,084.76","1,046.89",757.32,
23/12/2020,"1,078.90","1,087.89","1,094.09","1,077.92",813.17,
22/12/2020,"1,083.45","1,081.85","1,084.23","1,077.06",756.11,
21/12/2020,"1,081.08","1,071.62","1,081.60","1,070.86",713.66,
18/12/2020,"1,067.46","1,055.75","1,068.56","1,055.75",623.64,
17/12/2020,"1,051.77","1,065.85","1,065.85","1,051.42",667.89,
16/12/2020,"1,066.99","1,058.34","1,066.99","1,057.21",591.57,
15/12/2020,"1,055.27","1,062.02","1,067.45","1,052.01",675.18,
14/12/2020,"1,064.09","1,048.97","1,064.09","1,048.97",583.59,
11/12/2020,"1,045.96","1,033.19","1,045.96","1,030.06",463.77,
10/12/2020,"1,030.91","1,041.65","1,044.10","1,030.91",626.45,
9/12/2020,"1,039.13","1,029.26","1,039.55","1,029.26",586.05,
8/12/2020,"1,029.26","1,029.98","1,032.58","1,025.63",527.67,
7/12/2020,"1,029.98","1,024.34","1,030.41","1,022.14",520.34,
4/12/2020,"1,021.49","1,019.80","1,025.17","1,018.67",553.59,
3/12/2020,"1,019.80","1,016.73","1,020.35","1,014.06",518.91,
2/12/2020,"1,014.32","1,008.77","1,015.86","1,007.91",684.53,
1/12/2020,"1,008.87",988.71,"1,008.87",988.71,583.31,
30/11/2020,"1,003.08","1,011.82","1,012.50","1,002.61",532.93,
27/11/2020,"1,010.22","1,006.68","1,010.22","1,004.00",446.44,
26/11/2020,"1,005.97",999.24,"1,005.97",994.91,493.56,
25/11/2020,999.94,"1,000.39","1,002.31",996.8,475.74,
24/11/2020,995.76,996.55,997.99,984.92,550.07,
23/11/2020,994.19,991.87,995.9,985.38,489.69,
20/11/2020,990,984.71,990,980.72,501.05,
19/11/2020,983.26,975.32,983.26,974.33,500.12,
18/11/2020,973.53,969.48,974.3,966.32,478.68,
17/11/2020,968.9,955.52,968.9,953.22,400.96,
16/11/2020,950.79,970.11,972.98,950.5,518.93,
13/11/2020,966.29,959.56,966.29,959.13,457.83,
12/11/2020,959.28,953.97,959.28,953.62,343.91,
11/11/2020,952.22,954.46,956.65,947.61,376.51,
10/11/2020,951.9,962.68,963.47,951.9,456.75,
9/11/2020,951.99,942.15,951.99,942.15,393.20,
6/11/2020,938.29,939.73,941.2,934.63,268.23,
5/11/2020,937.75,940.32,945.51,937.75,304.33,
4/11/2020,939.76,935.41,943.56,933.86,350.87,
3/11/2020,935.41,936.73,937.57,932.18,318.70,
2/11/2020,933.68,926.09,933.68,924.14,297.60,
30/10/2020,925.47,925.41,926.32,911.2,312.75,
29/10/2020,919.08,916.49,925.84,914.33,436.13,
28/10/2020,921.05,942.82,946.91,921.05,456.06,
27/10/2020,946.47,950.8,954.72,946.28,455.85,
26/10/2020,950.8,967.52,970.15,950.8,428.25,
23/10/2020,961.26,953.45,961.26,953.14,452.49,
22/10/2020,949.9,938.06,949.9,933.78,365.12,
21/10/2020,939.03,947.16,948.2,939,412.65,
20/10/2020,944.42,941,944.54,937.32,444.33,
19/10/2020,943.69,945.01,946.29,941.92,389.47,
16/10/2020,943.3,944.03,946.23,935.98,443.33,
15/10/2020,942.76,945.28,945.93,938.7,470.51,
