Date,Price
22/10/2012,17440000
23/10/2012,18230000
24/10/2012,18220000
25/10/2012,17560000
26/10/2012,18030000
31/10/2012,17680000
01/11/2012,17770000
02/11/2012,16060000
05/11/2012,18330000
06/11/2012,18160000
07/11/2012,17720000
08/11/2012,18690000
09/11/2012,18800000
12/11/2012,18150000
13/11/2012,17360000
14/11/2012,16320000
15/11/2012,17740000
16/11/2012,17650000
19/11/2012,15880000
20/11/2012,15110000
21/11/2012,14960000
23/11/2012,15000000
26/11/2012,15630000
27/11/2012,15300000
28/11/2012,16430000
29/11/2012,15210000
30/11/2012,15260000
03/12/2012,15810000
04/12/2012,16660000
05/12/2012,16950000
06/12/2012,16590000
07/12/2012,16120000
10/12/2012,16470000
11/12/2012,15940000
12/12/2012,15600000
13/12/2012,15870000
14/12/2012,16680000
17/12/2012,17200000
18/12/2012,16390000
19/12/2012,16050000
20/12/2012,17260000
21/12/2012,19850000
24/12/2012,18460000
26/12/2012,18710000
27/12/2012,19390000
28/12/2012,20320000
31/12/2012,22140000
02/01/2013,15240000
03/01/2013,14770000
04/01/2013,14230000
07/01/2013,14530000
08/01/2013,13880000
09/01/2013,13320000
10/01/2013,13330000
11/01/2013,13550000
14/01/2013,13660000
15/01/2013,13970000
16/01/2013,13700000
17/01/2013,13450000
18/01/2013,13520000
22/01/2013,13280000
23/01/2013,12670000
24/01/2013,12730000
25/01/2013,12630000
28/01/2013,13290000
29/01/2013,13870000
30/01/2013,13640000
31/01/2013,14430000
01/02/2013,13370000
04/02/2013,14000000
05/02/2013,14210000
06/02/2013,14060000
07/02/2013,13470000
08/02/2013,13200000
11/02/2013,13370000
12/02/2013,12820000
13/02/2013,12880000
14/02/2013,13300000
15/02/2013,12470000
19/02/2013,12810000
20/02/2013,12320000
21/02/2013,14680000
22/02/2013,14600000
25/02/2013,13690000
26/02/2013,17500000
27/02/2013,16570000
28/02/2013,15000000
01/03/2013,16100000
04/03/2013,16160000
05/03/2013,13440000
06/03/2013,13180000
07/03/2013,13450000
08/03/2013,12670000
11/03/2013,12310000
12/03/2013,11790000
13/03/2013,12180000
14/03/2013,11700000
15/03/2013,11520000
18/03/2013,13470000
19/03/2013,13030000
20/03/2013,13180000
21/03/2013,13070000
22/03/2013,13340000
25/03/2013,12850000
26/03/2013,12950000
27/03/2013,13720000
28/03/2013,12910000
01/04/2013,13460000
02/04/2013,13110000
03/04/2013,12650000
04/04/2013,14100000
05/04/2013,15640000
08/04/2013,14040000
09/04/2013,13110000
10/04/2013,12660000
11/04/2013,12550000
12/04/2013,12610000
15/04/2013,13120000
16/04/2013,14720000
17/04/2013,15350000
18/04/2013,16340000
19/04/2013,16670000
22/04/2013,15080000
23/04/2013,13810000
24/04/2013,13570000
25/04/2013,13610000
26/04/2013,13940000
29/04/2013,13720000
30/04/2013,13710000
01/05/2013,13880000
02/05/2013,14480000
03/05/2013,12920000
06/05/2013,13060000
07/05/2013,12630000
08/05/2013,12870000
09/05/2013,12910000
10/05/2013,13080000
13/05/2013,12570000
14/05/2013,12610000
15/05/2013,12980000
16/05/2013,13070000
17/05/2013,12730000
20/05/2013,13280000
21/05/2013,13080000
22/05/2013,13450000
23/05/2013,14940000
24/05/2013,14590000
28/05/2013,13670000
29/05/2013,15300000
30/05/2013,14900000
31/05/2013,15020000
03/06/2013,16400000
04/06/2013,16160000
05/06/2013,16860000
06/06/2013,17700000
07/06/2013,15900000
10/06/2013,15160000
11/06/2013,16910000
12/06/2013,16510000
13/06/2013,18380000
14/06/2013,16630000
17/06/2013,16530000
18/06/2013,16810000
19/06/2013,16890000
20/06/2013,18400000
21/06/2013,18970000
24/06/2013,20870000
25/06/2013,18650000
26/06/2013,17230000
27/06/2013,16600000
28/06/2013,17250000
01/07/2013,16900000
02/07/2013,16490000
03/07/2013,17220000
05/07/2013,15590000
08/07/2013,14660000
09/07/2013,14330000
10/07/2013,14460000
11/07/2013,13570000
12/07/2013,13900000
15/07/2013,13980000
16/07/2013,13780000
17/07/2013,14200000
18/07/2013,13630000
